dataset,baseline,memory_policy,calibration,category_count,run_count,stream_type_count,epsilon_count,mean_image_auroc,mean_aupr,mean_ece,mean_latency_ms,mean_crd_lite,status,paper_allowed
MVTec AD,AnomalyCLIP,default/SCS,none,15,90,2,3,0.893328,0.745057,0.407158,4274.851164,-0.030445,measured_smoke_summary,false
MVTec AD,AnomalyCLIP,default/SCS,temperature_scaling,15,90,2,3,0.893328,0.745057,0.414043,4274.851164,-0.030445,measured_smoke_summary,false
MVTec AD,PatchCore,FIFO,none,15,90,2,3,0.936493,0.847593,0.182750,659.726570,-0.008261,measured_smoke_summary,false
MVTec AD,PatchCore,Prototype-EMA,none,15,90,2,3,0.832237,0.700006,0.244179,82.817533,-0.005793,measured_smoke_summary,false
MVTec AD,PatchCore,Reservoir,none,15,90,2,3,0.974724,0.911235,0.167197,664.558373,0.001027,measured_smoke_summary,false
MVTec AD,PatchCore,default/SCS,none,15,90,2,3,0.990513,0.935185,0.136237,663.025307,-0.007001,measured_smoke_summary,false
MVTec AD,PatchCore,default/SCS,temperature_scaling,15,90,2,3,0.990513,0.935185,0.238287,663.025307,-0.007001,measured_smoke_summary,false
MVTec AD,RareCLIP,FIFO,none,15,90,2,3,0.687183,0.543245,0.623303,2895.315463,-0.051650,measured_smoke_summary,false
MVTec AD,RareCLIP,Prototype-EMA,none,15,90,2,3,0.901092,0.819599,0.248364,3531.658801,-0.007655,measured_smoke_summary,false
MVTec AD,RareCLIP,Reservoir,none,15,90,2,3,0.910699,0.816471,0.268728,3230.528509,-0.017329,measured_smoke_summary,false
MVTec AD,RareCLIP,default/SCS,none,15,90,2,3,0.947913,0.843624,0.198366,3976.313262,-0.014017,measured_smoke_summary,false
MVTec AD,RareCLIP,default/SCS,temperature_scaling,15,90,2,3,0.947913,0.843624,0.288725,3976.313262,-0.014017,measured_smoke_summary,false
MVTec AD,WinCLIP,default/SCS,none,15,90,2,3,0.655856,0.437410,0.320076,1279.835544,-0.027441,measured_smoke_summary,false
MVTec AD,WinCLIP,default/SCS,temperature_scaling,15,90,2,3,0.655856,0.437410,0.352118,1279.835544,-0.027441,measured_smoke_summary,false
VisA,AnomalyCLIP,default/SCS,none,12,72,2,3,0.902006,0.692510,0.460884,4242.944395,0.013506,measured_smoke_summary,false
VisA,AnomalyCLIP,default/SCS,temperature_scaling,12,72,2,3,0.902006,0.692510,0.451829,4242.944395,0.013506,measured_smoke_summary,false
VisA,PatchCore,FIFO,none,12,72,2,3,0.961948,0.785648,0.221257,1854.299365,0.001019,measured_smoke_summary,false
VisA,PatchCore,Prototype-EMA,none,12,72,2,3,0.618949,0.324394,0.382748,83.130189,-0.027202,measured_smoke_summary,false
VisA,PatchCore,Reservoir,none,12,72,2,3,0.956709,0.846561,0.206945,1838.402395,0.010573,measured_smoke_summary,false
VisA,PatchCore,default/SCS,none,12,72,2,3,0.963653,0.836574,0.185186,17217.587894,-0.006656,measured_smoke_summary,false
VisA,PatchCore,default/SCS,temperature_scaling,12,72,2,3,0.963653,0.836574,0.273666,17217.587894,-0.006656,measured_smoke_summary,false
VisA,RareCLIP,FIFO,none,12,72,2,3,0.520224,0.332199,0.756064,2892.341175,-0.011814,measured_smoke_summary,false
VisA,RareCLIP,Prototype-EMA,none,12,72,2,3,0.865091,0.666958,0.295115,3557.964864,-0.011791,measured_smoke_summary,false
VisA,RareCLIP,Reservoir,none,12,72,2,3,0.813190,0.617253,0.310759,3134.335922,-0.018952,measured_smoke_summary,false
VisA,RareCLIP,default/SCS,none,12,72,2,3,0.940850,0.779701,0.263385,3976.268175,0.004216,measured_smoke_summary,false
VisA,RareCLIP,default/SCS,temperature_scaling,12,72,2,3,0.940850,0.779701,0.332461,3976.268175,0.004216,measured_smoke_summary,false
VisA,WinCLIP,default/SCS,none,12,72,2,3,0.723156,0.402129,0.321226,1283.195752,-0.003095,measured_smoke_summary,false
VisA,WinCLIP,default/SCS,temperature_scaling,12,72,2,3,0.723156,0.402129,0.360033,1283.195752,-0.003095,measured_smoke_summary,false
